CustomerID,CustomerName,Age,Gender,AnnualIncome,CreditScore,AccountType,AccountBalance,HasCreditCard,HasMortgage,HasPersonalLoan,DigitalEngagementLevel,OnlineTransactionsPct,HasComplained,ChurnStatus
CUST-00046,William Anderson,22,Male,78959,664,Premium Checking,51139.77,0,0,0,High,80.7,0,0
CUST-00047,Richard Smith,44,Female,40199,614,Money Market,130442.67,1,0,0,Low,5.5,0,0
CUST-00048,Matthew Miller,79,Female,71398,761,Money Market,18460.54,0,0,0,High,82.4,0,0
CUST-00049,William Smith,49,Female,70606,644,Money Market,75946.91,1,0,0,Low,22,0,0
CUST-00050,Barbara Davis,25,Female,18598,725,Savings,847.92,0,0,0,None,0,0,1
CUST-00051,Lisa Hernandez,35,Female,63952,709,Money Market,134061.63,1,1,0,Medium,69.4,0,0
CUST-00052,Charles Taylor,32,Male,80794,688,Savings,433.81,0,0,0,Medium,63,0,0
CUST-00053,Linda Williams,43,Male,83654,774,Money Market,61936.79,1,1,0,Medium,39.9,0,0
CUST-00054,John Smith,70,Male,42931,703,Standard Checking,4888.92,0,0,0,Medium,50.5,0,0
CUST-00055,Anthony Jones,61,Male,47201,723,Money Market,88689.91,1,0,0,Medium,53.5,0,0
CUST-00056,Elizabeth Miller,49,Male,48770,708,Standard Checking,11305.61,1,0,1,Medium,58.8,0,0
CUST-00057,Betty Rodriguez,45,Male,43755,685,Premium Checking,53832.39,1,0,0,High,85.2,0,0
CUST-00058,Margaret Miller,56,Female,27177,653,Premium Checking,18010.98,1,1,0,High,71.8,0,0
CUST-00059,William Davis,49,Female,30453,678,Premium Checking,24560.69,0,0,0,High,82.9,0,0
CUST-00060,Barbara Johnson,35,Male,62130,723,Savings,6284.33,0,0,0,High,99.7,0,0
CUST-00061,James Thomas,28,Male,42551,712,Premium Checking,40400.67,0,0,0,Medium,45.1,0,0
CUST-00062,Daniel Jones,49,Female,48286,721,Savings,5434.41,0,0,1,High,94.5,1,0
CUST-00063,John Lopez,37,Female,79272,850,Premium Checking,16113.76,1,0,0,High,88.6,0,0
CUST-00064,Linda Williams,57,Male,47699,644,Standard Checking,1385.92,0,0,0,Medium,65.3,0,0
CUST-00065,James Williams,25,Male,25937,569,Savings,8879.57,1,0,0,Medium,38.8,0,0
CUST-00066,Robert Anderson,52,Male,138413,651,Premium Checking,61632.05,1,0,0,Medium,68.6,0,0
CUST-00067,Susan Williams,38,Male,39565,655,Premium Checking,70680.39,1,0,1,High,75.1,0,0
CUST-00068,James Jones,41,Female,38438,710,Standard Checking,1457,1,0,0,High,74.1,0,0
CUST-00069,Betty Wilson,34,Female,52973,662,Premium Checking,7819.67,0,0,0,Medium,34.7,0,0
CUST-00070,Michael Rodriguez,35,Male,42809,731,Savings,9758.26,0,0,0,Low,6.7,0,0
CUST-00071,Joseph Anderson,29,Female,44539,626,Standard Checking,80.62,1,0,0,High,73.2,0,1
CUST-00072,Betty Martinez,33,Female,34566,720,Premium Checking,74223.62,1,0,1,Low,14.3,0,0
CUST-00073,Margaret Gonzalez,21,Female,74662,578,Standard Checking,14611.05,1,0,1,Low,24.2,0,0
CUST-00074,Charles Miller,51,Non-Binary,80332,679,Premium Checking,70387.46,1,1,1,Medium,63.9,0,0
CUST-00075,Thomas Martin,63,Male,114097,623,Standard Checking,13408.28,1,0,0,Medium,40.7,0,0
CUST-00076,Mark Brown,48,Male,122829,654,Savings,1661.88,1,0,0,Medium,53.2,0,0
CUST-00077,Sandra Jones,42,Female,17110,536,Standard Checking,744.84,0,0,0,Low,15.9,0,1
CUST-00078,Daniel Miller,41,Female,62362,739,Money Market,40863.69,1,0,0,Low,25.3,0,0
CUST-00079,Richard Anderson,82,Non-Binary,25434,653,Premium Checking,64839.62,1,1,0,Medium,34.9,0,0
CUST-00080,David Brown,42,Female,87493,672,Premium Checking,53981.63,0,0,0,Medium,38.8,0,0
CUST-00081,Richard Miller,45,Male,54034,709,Savings,2821.32,0,0,0,High,70.5,0,0
CUST-00082,Anthony Jackson,53,Male,31919,628,Standard Checking,3960.18,0,0,0,Medium,41.4,0,0
CUST-00083,Nancy Johnson,23,Female,26053,645,Standard Checking,7208.44,1,1,0,High,97.8,0,0
CUST-00084,Elizabeth Gonzalez,83,Female,33144,556,Savings,5220.76,1,0,0,Medium,69.3,0,1
CUST-00085,Sandra Garcia,84,Female,30750,657,Money Market,126961.5,1,0,0,Medium,40.4,0,0
CUST-00086,Margaret Lopez,65,Male,89410,787,Savings,4992.09,0,0,0,Medium,46.7,0,0
CUST-00087,Barbara Martin,84,Female,47652,699,Standard Checking,3948.51,0,0,1,None,0,0,1
CUST-00088,Sandra Hernandez,65,Female,27953,574,Savings,7601.26,1,0,0,Medium,39.3,0,0
CUST-00089,Betty Miller,82,Male,56853,709,Premium Checking,18077.65,1,0,0,High,98.4,1,0
CUST-00090,Sandra Smith,61,Male,56344,769,Savings,10291.72,1,0,1,Medium,45.9,0,0
CUST-00091,James Martin,80,Female,43152,609,Standard Checking,4446.14,1,0,1,Medium,42.4,0,0
CUST-00092,Richard Rodriguez,63,Female,86103,664,Money Market,50144.03,1,0,0,Low,6.1,0,0
CUST-00093,John Miller,36,Male,62030,667,Standard Checking,4603.66,0,0,0,Medium,63,0,0
CUST-00094,Jennifer Davis,81,Male,59607,688,Standard Checking,6917.22,1,0,0,Low,22.5,0,0
CUST-00095,Anthony Rodriguez,67,Male,18559,687,Standard Checking,13319.78,1,0,0,Medium,63.6,0,0
CUST-00096,Sandra Jones,80,Male,39465,724,Standard Checking,10326.57,1,0,0,High,71.9,1,0
CUST-00097,James Jackson,58,Male,65117,671,Standard Checking,2701.79,1,0,0,Medium,47.3,0,0
CUST-00098,Elizabeth Lopez,24,Female,56487,766,Standard Checking,10106.2,1,0,0,Medium,37.1,0,0
CUST-00099,Lisa Anderson,26,Male,48997,545,Savings,2339.39,0,0,0,Medium,60.2,0,1
CUST-00100,Anthony Rodriguez,21,Female,66362,599,Savings,4813.46,0,0,0,High,76.4,0,0
CUST-00101,Karen Taylor,66,Male,58941,784,Savings,6973.96,1,1,0,Medium,58.9,0,0
CUST-00102,Sandra Taylor,23,Male,70394,646,Standard Checking,9560.55,1,0,1,High,93.8,0,0
CUST-00103,Betty Martin,38,Female,57312,718,Standard Checking,7077.69,1,0,0,Medium,53.7,1,0
CUST-00104,Barbara Miller,32,Female,68877,670,Standard Checking,8773.86,1,0,0,Low,26.1,0,0
CUST-00105,Mary Williams,84,Male,67166,746,Premium Checking,14889.11,0,0,0,Medium,65.8,0,0
CUST-00106,Thomas Jones,83,Female,47009,708,Money Market,140939.99,1,0,0,High,84,0,0
CUST-00107,Thomas Taylor,73,Male,48264,850,Premium Checking,45112.72,0,0,1,Medium,55.5,0,0
CUST-00108,Anthony Taylor,85,Male,50958,678,Savings,7622.89,1,0,0,None,0,0,1
CUST-00109,Mary Johnson,49,Female,26313,650,Money Market,33039.61,0,0,1,Medium,34,0,0
CUST-00110,Margaret Jones,83,Female,22642,769,Standard Checking,6609.09,1,0,0,Medium,64.2,0,0
CUST-00111,James Smith,46,Male,63059,727,Standard Checking,14492.28,0,0,0,High,77.1,0,0
CUST-00112,Charles Johnson,83,Male,64773,623,Savings,1211.55,1,0,0,Medium,65.6,0,1
CUST-00113,Christopher Lopez,51,Female,48397,741,Premium Checking,26281.98,0,0,1,None,0,0,0
CUST-00114,Betty Garcia,44,Male,58558,694,Standard Checking,3915.15,1,0,0,Medium,30,0,0
CUST-00115,Daniel Brown,77,Female,68062,686,Standard Checking,4265.12,1,0,1,High,76.6,0,0
CUST-00116,Daniel Hernandez,56,Male,60950,710,Standard Checking,4156.16,1,0,1,Low,12.5,0,0
CUST-00117,Lisa Taylor,61,Female,64877,736,Savings,9088.85,1,0,1,Low,5.1,0,0
CUST-00118,Jennifer Jones,53,Male,25641,693,Standard Checking,13411.77,1,0,0,Medium,58.1,0,0
CUST-00119,Karen Johnson,36,Non-Binary,111626,661,Standard Checking,1055.92,1,0,1,High,76.2,0,0
CUST-00120,Jennifer Hernandez,62,Male,57622,826,Savings,12489.12,0,0,0,High,73.8,0,0
CUST-00121,Jessica Thomas,38,Female,78262,677,Premium Checking,36800.4,1,1,1,Medium,39.8,0,0
CUST-00122,James Rodriguez,40,Male,65662,773,Savings,8860.19,0,0,0,Medium,52.8,0,0
CUST-00123,Margaret Garcia,44,Male,29277,640,Money Market,99262.65,1,1,0,Medium,60.1,0,0
CUST-00124,Jessica Williams,36,Male,34781,620,Standard Checking,8450.43,1,0,0,Low,13.4,1,0
CUST-00125,Karen Brown,58,Female,37705,747,Standard Checking,1459.89,0,0,0,Medium,61.2,0,0
CUST-00126,Charles Williams,43,Male,87067,662,Standard Checking,7284.57,1,1,0,Medium,60.7,0,0
CUST-00127,Charles Martin,45,Male,30294,544,Standard Checking,988.77,1,0,0,Medium,41.5,0,1
CUST-00128,Michael Martin,81,Male,26199,665,Standard Checking,88.55,1,0,0,Low,14.1,1,0
CUST-00129,William Smith,85,Female,60756,715,Savings,3065.53,1,0,0,Medium,40.8,0,0
CUST-00130,Linda Miller,68,Male,117757,631,Money Market,16177.67,1,0,0,High,75,0,0
CUST-00131,Sarah Davis,65,Male,32182,622,Savings,10313.52,0,0,0,Low,9.2,0,0
CUST-00132,James Hernandez,27,Female,100384,693,Savings,5795.42,1,1,0,Medium,68.6,0,0
CUST-00133,Margaret Moore,56,Female,71195,600,Savings,7365.93,1,0,0,Low,23.1,0,0
CUST-00134,Daniel Martinez,36,Male,39704,701,Standard Checking,8995.82,0,0,1,Medium,63.1,0,0
CUST-00135,John Miller,81,Female,25302,752,Standard Checking,560.68,0,0,0,None,0,0,1
CUST-00136,Margaret Thomas,36,Male,41413,771,Savings,5250.91,1,0,0,High,71.2,0,0
CUST-00137,Betty Thomas,79,Male,33006,634,Standard Checking,6431.41,0,0,0,High,73.5,0,0
CUST-00138,Matthew Martin,30,Female,89335,804,Savings,3962,1,0,0,None,0,0,0
CUST-00139,Margaret Taylor,42,Female,48207,721,Premium Checking,45685.68,1,1,1,Low,20.9,0,0
CUST-00140,Mary Smith,59,Male,62357,632,Standard Checking,7423.24,1,0,0,Medium,64.7,0,0
CUST-00141,Jessica Lopez,56,Male,62558,650,Savings,8846.7,1,0,0,Low,13.7,0,0
CUST-00142,Robert Jones,47,Male,35598,631,Savings,4393.36,1,0,1,Medium,61.1,0,0
CUST-00143,Anthony Rodriguez,22,Female,50823,536,Standard Checking,10483.86,0,0,0,Medium,38.5,0,0
CUST-00144,William Williams,35,Female,80870,779,Savings,12914.14,1,0,0,Medium,38.9,0,0
CUST-00145,Charles Thomas,38,Male,47193,695,Standard Checking,2043.29,1,0,0,Medium,66.6,0,0
CUST-00146,Jessica Williams,67,Female,42921,725,Standard Checking,4388.69,1,0,0,None,0,0,1
CUST-00147,Karen Smith,23,Male,69227,686,Savings,5226.15,1,0,0,Medium,63.7,0,0
CUST-00148,Lisa Martin,67,Female,25588,574,Savings,1624.54,1,0,0,High,85.7,0,1
CUST-00149,David Taylor,83,Male,16289,704,Standard Checking,9189.52,1,0,0,Medium,32,0,0
CUST-00150,Linda Brown,18,Female,56614,746,Standard Checking,3199.78,0,0,0,Medium,36.4,0,0
CUST-00151,Jennifer Davis,74,Male,81812,746,Standard Checking,13609.01,1,0,0,Medium,51.6,0,0
CUST-00152,Karen Williams,47,Female,120680,756,Standard Checking,2112.51,0,1,0,None,0,0,1
CUST-00153,Jessica Williams,75,Male,54075,683,Money Market,105546.59,0,0,0,None,0,0,0
CUST-00154,Matthew Moore,69,Male,74021,514,Savings,9877.87,0,1,1,Medium,38.8,0,1
CUST-00155,Susan Moore,54,Female,94755,727,Savings,7054.83,0,0,0,High,91.7,0,0
CUST-00156,Mary Williams,65,Male,49796,685,Savings,7770.27,1,0,0,Medium,54.8,0,0
CUST-00157,Jessica Rodriguez,18,Male,35574,819,Savings,2435.87,1,0,1,Medium,64.7,0,0
CUST-00158,Patricia Smith,36,Female,33790,812,Savings,481.08,0,0,0,Low,19.3,0,0
CUST-00159,Patricia Smith,63,Female,42305,757,Standard Checking,14150.66,0,1,1,High,83.2,0,0
CUST-00160,Susan Thomas,84,Male,101183,583,Premium Checking,32200.19,1,0,0,High,91.7,0,0
CUST-00161,Karen Davis,19,Male,78129,602,Savings,8659.19,0,0,0,Medium,33.6,0,0
CUST-00162,Michael Williams,73,Male,43945,716,Premium Checking,47319.43,0,1,1,High,96.1,0,0
CUST-00163,Thomas Smith,34,Female,91380,598,Savings,126.88,1,1,0,Low,16.9,0,1
CUST-00164,Jessica Lopez,39,Male,61475,741,Money Market,61128.17,0,0,0,Low,5.3,0,0
CUST-00165,Anthony Jackson,44,Male,43977,744,Savings,4605.39,0,0,0,Medium,65,0,0
CUST-00166,Nancy Wilson,72,Female,53557,789,Standard Checking,3166.36,1,1,0,Medium,32.9,0,0
CUST-00167,Sandra Garcia,49,Male,59951,756,Savings,2522.23,1,0,0,High,86.5,0,0
CUST-00168,Jennifer Gonzalez,77,Male,52489,652,Savings,5684.92,0,0,1,None,0,1,1
CUST-00169,Charles Davis,45,Female,117068,675,Standard Checking,2203.1,1,0,0,High,75.3,0,0
CUST-00170,Anthony Johnson,45,Male,45484,620,Standard Checking,2967.97,1,0,0,Medium,33.9,0,0
CUST-00171,Christopher Smith,42,Female,24558,698,Premium Checking,15832.02,0,0,0,Medium,63.1,0,0
CUST-00172,Margaret Anderson,43,Female,57312,527,Savings,3632.83,1,0,0,Medium,42.1,0,1
CUST-00173,James Jones,34,Male,42373,659,Savings,1204.25,1,0,0,Low,26.3,0,0
CUST-00174,Margaret Thomas,24,Male,25051,728,Savings,12980.21,0,0,0,High,97.3,0,0
CUST-00175,Charles Brown,73,Female,68336,723,Standard Checking,6528.93,1,0,0,Low,28.8,0,0
CUST-00176,John Taylor,81,Female,8072,740,Standard Checking,12459.16,1,0,0,High,81,0,0
CUST-00177,Thomas Lopez,37,Male,56627,605,Standard Checking,823.82,1,0,0,Medium,48.2,0,1
CUST-00178,Margaret Wilson,55,Male,14993,590,Savings,9572.54,0,0,0,Low,8.4,0,0
CUST-00179,Christopher Garcia,75,Female,49147,721,Standard Checking,12286.81,0,0,1,Low,18.1,0,0
CUST-00180,John Rodriguez,33,Male,64650,613,Standard Checking,10460.57,0,0,0,Medium,39.9,0,0
CUST-00181,Robert Taylor,68,Female,70690,598,Standard Checking,12654.68,0,1,0,Medium,42.5,0,0
CUST-00182,Susan Williams,44,Female,73440,694,Standard Checking,1727.81,1,0,1,Medium,68.8,0,0
CUST-00183,Margaret Smith,68,Male,28931,678,Standard Checking,2611.45,0,0,0,High,87.2,0,0
CUST-00184,Karen Smith,33,Female,53899,847,Savings,2430.72,0,0,0,Medium,33.8,0,0
CUST-00185,John Moore,77,Female,34526,706,Standard Checking,9537.03,0,0,0,High,94.5,1,0
CUST-00186,Matthew Martinez,57,Male,33544,692,Standard Checking,14959.73,1,1,1,Medium,66.1,0,0
CUST-00187,Nancy Williams,84,Female,46392,640,Savings,6256.19,0,0,0,Medium,55.4,0,0
CUST-00188,Linda Wilson,19,Female,39717,737,Premium Checking,61995.58,0,0,0,Low,20,0,0
CUST-00189,Lisa Moore,65,Male,29198,677,Premium Checking,46770.17,1,0,0,Medium,66.8,0,0
CUST-00190,Joseph Johnson,69,Male,57581,643,Standard Checking,12188.54,1,0,0,Medium,45.7,0,0
CUST-00191,Anthony Martinez,41,Female,64489,665,Standard Checking,7222.89,1,0,1,Medium,65.6,0,0
CUST-00192,Mary Taylor,19,Female,31869,656,Savings,4807.05,0,0,1,High,72.2,0,0
CUST-00193,Linda Smith,82,Female,44703,674,Standard Checking,887.35,0,0,0,Medium,64.9,0,0
CUST-00194,William Hernandez,37,Female,45088,837,Standard Checking,7210.74,1,1,0,Medium,58.8,0,0
CUST-00195,Nancy Thomas,51,Male,45454,724,Premium Checking,55494.32,1,0,1,Low,6.4,0,0
CUST-00196,Michael Martinez,58,Female,47650,667,Standard Checking,7241.51,1,0,1,High,90.1,0,0
CUST-00197,Daniel Williams,58,Male,56629,676,Savings,74.35,0,0,1,None,0,0,1
CUST-00198,Sarah Gonzalez,40,Male,87896,582,Standard Checking,11941.37,0,0,0,Medium,66,0,0
CUST-00199,Margaret Miller,55,Male,52317,553,Standard Checking,1978.78,0,0,0,Medium,34.9,0,1
CUST-00200,Matthew Brown,61,Female,37986,732,Premium Checking,31578.07,1,0,0,Medium,38,0,0
CUST-00201,Richard Martin,84,Male,48726,730,Premium Checking,8731.94,0,0,0,High,76.7,0,0
CUST-00202,James Davis,79,Male,28809,708,Savings,2954.94,1,0,1,Medium,46.8,0,0
CUST-00203,Susan Thomas,29,Male,31301,784,Standard Checking,10764.01,0,1,0,High,84.3,0,0
CUST-00204,Susan Lopez,47,Male,60852,695,Standard Checking,14113.22,0,0,0,High,93.7,0,0
CUST-00205,Charles Anderson,82,Female,10250,737,Standard Checking,1800.31,0,0,0,Low,23.7,0,0
CUST-00206,Margaret Johnson,58,Non-Binary,43985,674,Savings,5880.6,1,0,1,Low,8.4,0,0
CUST-00207,Mary Jackson,37,Female,77965,505,Standard Checking,9041.31,0,0,0,Medium,30.1,0,1
CUST-00208,Matthew Taylor,23,Female,59993,761,Savings,7115.86,0,0,1,High,95.3,0,0
CUST-00209,Karen Martinez,21,Female,75378,612,Premium Checking,60622.22,1,0,1,High,83.4,0,0
CUST-00210,Jennifer Anderson,27,Female,57986,698,Premium Checking,71827.55,1,1,0,Medium,32.4,0,0
CUST-00211,Nancy Hernandez,68,Female,132724,630,Standard Checking,8315.17,0,0,0,High,77.5,0,0
CUST-00212,Margaret Jones,55,Male,26490,698,Standard Checking,7648.67,0,0,0,High,77.4,0,0
CUST-00213,James Davis,18,Male,51937,796,Standard Checking,14871.8,1,0,0,High,78,0,0
CUST-00214,Christopher Lopez,25,Male,70525,721,Standard Checking,6982.85,0,0,1,Medium,50,0,0
CUST-00215,Barbara Jones,80,Male,39697,737,Standard Checking,13273.57,1,0,1,High,86.4,0,0
CUST-00216,Michael Brown,50,Male,88375,667,Money Market,98398.46,1,0,0,Medium,54.4,0,0
CUST-00217,Jennifer Gonzalez,32,Female,66322,660,Money Market,49061.48,1,0,0,High,81.3,0,0
CUST-00218,Karen Anderson,48,Female,23250,658,Standard Checking,4520.41,1,0,0,High,83.4,0,0
CUST-00219,John Davis,38,Male,58750,733,Standard Checking,14134.65,0,0,1,Low,26,0,0
CUST-00220,Karen Thomas,20,Male,66441,682,Standard Checking,8688.29,0,0,0,High,84.9,0,0
CUST-00221,Richard Moore,83,Female,110892,728,Savings,2919.71,1,0,1,Low,29.5,0,0
CUST-00222,Margaret Martinez,52,Male,44814,667,Savings,3871.87,0,0,0,High,90.4,0,0
CUST-00223,Sandra Jackson,58,Male,64826,751,Premium Checking,29074.39,1,0,0,High,86.2,1,0
CUST-00224,Thomas Jackson,76,Female,55760,728,Premium Checking,70494.78,1,0,0,Medium,55,0,0
CUST-00225,Margaret Jones,33,Male,37008,687,Premium Checking,55125.85,0,0,0,Medium,53.2,0,0
CUST-00226,Betty Rodriguez,73,Female,41167,727,Standard Checking,4710.52,1,0,0,Medium,40.8,0,0
CUST-00227,Barbara Smith,62,Female,16376,752,Standard Checking,3466.28,1,0,1,None,0,0,1
CUST-00228,Betty Smith,76,Female,38701,809,Savings,927.96,1,0,0,Medium,56.1,0,0
CUST-00229,Joseph Johnson,67,Male,107534,630,Savings,12707.17,0,0,0,High,78.6,0,0
CUST-00230,Sandra Thomas,29,Male,44970,741,Savings,9727.37,1,0,0,High,73.5,0,0
CUST-00231,Matthew Davis,29,Male,74777,728,Money Market,131971.85,1,0,0,Low,22.3,0,0
CUST-00232,Richard Smith,50,Male,54935,744,Savings,377.77,1,1,0,High,93.7,0,0
CUST-00233,Jessica Miller,66,Male,60610,647,Standard Checking,13832.96,0,0,0,Medium,42.2,0,0
CUST-00234,Robert Williams,38,Female,132875,687,Standard Checking,7874.65,1,0,0,Medium,53,0,0
CUST-00235,Barbara Thomas,77,Female,39964,647,Premium Checking,55402.41,1,1,0,High,87.6,0,0
CUST-00236,Charles Jones,69,Female,39826,704,Standard Checking,3816.37,0,1,1,None,0,0,1
CUST-00237,Nancy Wilson,71,Male,84427,619,Savings,2217.3,1,0,0,Medium,50,0,0
CUST-00238,Margaret Jones,56,Female,47086,775,Standard Checking,3434.16,1,0,0,High,99.1,0,0
CUST-00239,Joseph Taylor,66,Male,42774,689,Money Market,143661.09,1,1,0,Low,29.3,0,0
CUST-00240,Sandra Wilson,81,Male,78974,800,Money Market,46997,1,0,0,Medium,31.5,0,0
CUST-00241,Sandra Martin,43,Female,55786,633,Standard Checking,3957.18,0,0,0,High,70.1,0,0
CUST-00242,Robert Lopez,24,Male,45449,694,Premium Checking,33438.08,0,0,0,Medium,61.5,0,0
CUST-00243,Jessica Thomas,79,Female,41322,687,Savings,9649.14,0,0,0,Medium,39.5,0,0
CUST-00244,Christopher Miller,41,Female,32159,726,Standard Checking,11688.34,0,0,0,High,91.6,0,0
CUST-00245,Patricia Smith,57,Male,22606,733,Savings,13249.89,1,0,0,Medium,34.6,0,0
CUST-00246,Sandra Jones,64,Non-Binary,85454,586,Savings,2425.24,1,0,0,Low,19.9,0,1
CUST-00247,Daniel Martinez,25,Male,39651,763,Standard Checking,9680.72,0,0,0,Medium,31.7,0,0
CUST-00248,Nancy Jones,71,Female,20914,742,Standard Checking,1739.92,1,0,0,Low,10,0,0
CUST-00249,Patricia Johnson,26,Male,119567,575,Savings,3557.76,0,1,0,High,99.9,0,1
CUST-00250,Karen Martinez,20,Male,51191,780,Savings,8572.07,1,0,1,Medium,65.9,0,0
CUST-00251,Betty Jackson,71,Male,49571,591,Savings,14212.59,0,0,1,Low,21.5,0,0
CUST-00252,Betty Smith,38,Female,22166,699,Standard Checking,9149.47,1,0,0,High,72.4,0,0
CUST-00253,Lisa Jones,65,Female,65547,659,Savings,13144.64,1,0,1,High,99.5,0,0
CUST-00254,Richard Brown,64,Female,37588,667,Premium Checking,61040.14,1,0,1,Medium,37,0,0
CUST-00255,Jessica Thomas,85,Female,37630,655,Premium Checking,62529.39,1,0,0,Medium,40.4,0,0
CUST-00256,Daniel Johnson,80,Female,60288,716,Savings,3360.98,1,1,0,High,84.2,0,0
CUST-00257,Thomas Martin,33,Male,52071,617,Standard Checking,7318.57,1,0,0,Medium,34.5,0,0
CUST-00258,Lisa Lopez,22,Female,30149,745,Standard Checking,12075.88,1,0,1,High,91.8,0,0
CUST-00259,Sarah Williams,28,Male,24049,717,Premium Checking,32764.21,0,0,1,Medium,66.9,0,0
CUST-00260,Margaret Smith,46,Male,53246,668,Money Market,76670.3,0,1,0,Low,19.6,0,0
CUST-00261,James Jackson,65,Male,50985,741,Standard Checking,10038.09,1,0,0,Medium,51.9,0,0
